Day,0:0,0:15,0:30,0:45,1:0,1:15,1:30,1:45,2:0,2:15,2:30,2:45,3:0,3:15,3:30,3:45,4:0,4:15,4:30,4:45,5:0,5:15,5:30,5:45,6:0,6:15,6:30,6:45,7:0,7:15,7:30,7:45,8:0,8:15,8:30,8:45,9:0,9:15,9:30,9:45,10:0,10:15,10:30,10:45,11:0,11:15,11:30,11:45,12:0,12:15,12:30,12:45,13:0,13:15,13:30,13:45,14:0,14:15,14:30,14:45,15:0,15:15,15:30,15:45,16:0,16:15,16:30,16:45,17:0,17:15,17:30,17:45,18:0,18:15,18:30,18:45,19:0,19:15,19:30,19:45,20:0,20:15,20:30,20:45,21:0,21:15,21:30,21:45,22:0,22:15,22:30,22:45,23:0,23:15,23:30,23:45
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,1,1,2,2,1,1,22,2,3,20,19,3,3,19,18,20,19,2,2,22,4,19,3,20,1,2,21,41,3,3,2,20,1,15,0,16,15,0,18,16,17,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,1,1,2,3,3,4,5,22,4,23,35,2,19,39,17,2,3,19,2,3,20,3,3,22,36,2,2,20,36,3,3,20,2,19,1,17,0,17,17,0,0,18,16,34,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,2,3,3,4,21,5,21,3,18,22,4,42,22,4,2,4,54,19,4,18,2,20,18,35,2,2,20,2,20,1,0,32,18,18,17,0,0,16,31,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,1,1,2,2,2,1,4,20,4,23,6,3,2,38,34,3,23,22,5,4,3,17,21,37,21,4,20,22,2,21,18,18,17,1,0,19,0,35,0,0,17,20,0,16,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,3,3,3,6,23,4,22,23,2,20,38,20,2,19,3,21,5,23,26,5,4,3,34,16,35,17,17,19,3,21,3,3,19,0,0,49,48,0,0,0,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,1,1,2,4,3,3,18,2,1,17,36,3,21,2,4,20,2,2,35,2,3,4,37,2,3,3,34,2,19,15,17,0,17,16,0,0,0,0,0,18,18,16,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,2,2,3,3,4,2,2,36,3,20,4,21,3,3,20,36,3,37,3,2,2,20,22,23,4,3,22,3,20,4,37,19,2,15,17,0,36,16,0,0,17,0,16,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,2,2,2,3,2,3,21,21,4,5,23,4,22,38,3,2,32,18,21,3,20,3,4,21,4,4,38,20,3,21,20,3,38,3,20,0,19,35,16,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,1,2,2,2,2,2,1,18,21,4,3,3,19,2,4,36,5,24,5,2,5,73,3,3,22,17,4,4,57,2,2,17,17,0,53,0,0,0,0,0,35,17,52,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,2,3,4,4,5,5,22,21,23,24,5,22,37,4,37,4,55,4,20,3,20,40,3,22,5,22,36,4,21,23,4,58,5,2,2,19,54,0,0,15,16,17,69,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,1,1,1,3,3,3,4,22,3,3,38,2,17,2,37,5,4,3,6,22,18,5,54,2,2,3,51,19,2,21,1,1,1,37,0,0,0,16,0,17,0,83,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,3,3,2,3,19,2,18,20,2,3,21,4,20,3,2,22,24,23,23,6,2,3,71,23,20,5,3,21,2,36,1,35,0,17,0,50,0,0,35,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,1,2,3,2,5,22,5,4,22,20,3,39,40,5,4,3,2,57,22,23,5,4,19,1,17,37,17,21,4,20,3,3,37,1,18,15,33,19,18,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,1,1,1,2,3,3,3,20,2,17,18,1,34,1,2,1,2,3,21,2,2,2,22,5,22,23,6,2,19,51,19,2,20,3,22,2,1,0,16,16,20,16,0,0,0,84,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,2,2,2,3,2,1,21,36,3,3,20,19,3,21,21,4,20,2,19,3,20,20,4,20,3,3,18,16,0,18,18,20,2,2,20,0,0,34,17,0,18,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,2,3,3,3,3,2,18,17,18,2,3,18,3,3,2,21,3,20,23,20,2,3,2,37,33,1,17,3,3,20,19,1,0,0,32,35,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,1,2,2,3,2,4,21,4,21,4,21,3,19,21,19,1,2,20,20,4,21,2,19,18,19,19,2,18,3,2,1,2,17,18,1,1,16,0,0,32,0,0,33,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,1,1,2,2,2,1,3,19,2,20,2,1,2,20,18,2,1,2,3,18,21,3,2,1,36,18,19,1,2,18,3,2,2,1,16,0,18,16,0,0,0,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,1,1,2,2,2,3,20,2,2,17,2,18,21,19,2,2,2,19,21,5,3,3,20,19,20,2,20,19,2,2,20,1,19,17,17,0,0,17,0,0,0,34,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,2,3,2,3,19,3,18,3,20,3,4,34,4,4,20,19,22,4,21,6,42,22,5,3,35,4,57,22,5,22,2,0,0,51,36,0,0,0,16,37,0,70,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,2,3,3,3,18,2,19,1,18,19,3,4,3,3,4,22,24,5,39,5,4,20,37,21,21,3,2,36,3,19,2,21,0,16,0,32,0,37,36,0,48,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,1,2,3,3,3,21,4,3,19,21,19,2,4,41,5,5,5,3,37,21,22,18,3,38,3,2,38,5,21,4,4,39,1,1,34,33,0,17,0,17,0,34,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,2,3,3,3,3,23,2,20,18,2,18,3,5,24,5,4,21,18,20,22,21,20,3,20,2,19,4,40,3,2,0,17,18,51,1,1,18,0,15,17,17,35,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,1,2,2,3,3,2,2,19,17,3,20,4,21,22,5,22,3,37,19,2,2,54,3,3,5,21,5,37,3,0,35,1,54,1,1,0,0,0,17,17,18,36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,2,2,3,3,3,22,23,6,5,21,18,1,74,4,20,4,6,4,22,19,21,37,4,22,38,2,3,19,19,40,5,2,2,2,54,0,18,35,0,18,0,35,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,1,3,3,4,21,3,1,18,32,2,20,3,4,4,2,2,19,20,19,2,19,1,1,17,2,20,4,20,2,2,18,18,0,17,16,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,1,1,2,3,3,3,3,19,1,19,19,2,2,20,2,18,17,1,19,19,2,18,3,3,1,1,2,36,1,2,20,1,1,1,19,0,0,16,0,17,17,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,1,1,2,2,3,2,2,17,2,19,2,20,3,35,1,18,2,17,2,2,18,2,3,2,20,2,18,1,2,19,20,3,2,1,0,18,18,17,0,0,0,0,0,16,16,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,1,1,2,2,2,1,3,20,2,34,2,1,2,19,18,2,1,2,2,19,19,2,1,1,1,36,2,1,17,1,21,0,0,0,34,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,3,3,3,3,21,1,21,21,4,23,5,3,3,36,3,18,21,21,6,5,38,7,23,2,20,22,54,2,3,38,2,2,2,34,0,0,33,35,35,17,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,1,1,1,1,2,1,2,18,2,20,2,17,2,2,20,2,21,1,2,1,19,1,17,3,3,3,18,2,1,36,1,35,1,0,0,0,17,0,0,17,0,18,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,2,3,2,2,20,3,21,3,20,3,19,37,3,5,22,4,39,3,1,21,37,20,3,18,2,2,4,35,4,3,21,1,18,0,31,33,0,0,16,0,0,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,2,2,3,3,3,21,21,5,4,21,21,22,3,21,20,19,3,22,4,40,3,3,4,55,4,22,19,2,20,18,18,1,19,19,0,0,19,35,34,0,0,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,2,3,4,4,3,3,20,21,20,22,3,3,19,20,5,21,5,25,5,23,5,71,3,2,19,18,22,24,22,4,3,2,18,17,36,18,18,0,0,53,0,0,16,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,1,1,2,2,2,3,37,3,4,19,2,18,19,3,23,21,4,4,2,19,19,19,22,21,4,3,4,22,40,19,2,0,17,18,34,0,0,19,0,0,19,18,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,2,2,3,4,5,3,3,36,3,16,24,20,3,4,6,23,22,21,21,4,20,34,19,34,2,2,22,24,4,4,22,19,0,0,70,0,0,0,18,18,15,16,52,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,1,1,2,2,2,2,3,21,3,20,2,2,19,20,6,24,6,6,5,18,21,71,3,2,19,0,37,1,33,2,2,2,1,1,0,16,0,16,0,17,17,15,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,1,2,2,2,1,1,20,2,21,22,4,2,2,21,20,23,4,24,4,3,3,55,1,1,19,20,3,38,3,2,1,1,18,33,1,0,0,0,18,34,16,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,2,2,2,2,2,20,24,4,4,5,22,22,5,20,22,20,36,3,2,36,2,20,19,4,4,39,3,2,19,1,35,19,17,1,1,34,0,0,16,16,0,17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,16,0,0,1,1,1,1,1,0,0,0,20,1,1,1,1,0,0,0,17,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,1,1,1,2,2,2,2,21,2,3,20,2,20,20,3,4,39,4,2,3,54,3,3,19,3,17,19,1,19,2,19,2,18,1,18,0,18,32,0,16,0,35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,2,2,2,2,2,1,36,21,3,3,3,3,19,1,17,20,5,22,6,5,4,2,20,67,1,19,0,3,3,20,3,3,1,1,1,52,1,0,0,0,54,17,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,0,0,0,1,2,2,4,4,3,2,19,18,1,38,2,2,4,5,20,4,3,20,18,1,34,20,2,2,2,18,21,3,20,20,2,1,0,15,17,17,0,18,19,0,17,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,1,1,1,2,2,1,1,18,2,2,20,3,2,3,19,21,5,22,3,4,19,19,55,3,2,1,1,18,19,19,2,1,16,1,18,1,1,18,1,18,0,0,52,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,1,1,2,3,3,2,3,21,3,21,24,4,2,2,51,2,3,22,21,3,22,20,21,3,20,18,20,3,20,19,3,18,2,18,17,0,0,18,18,0,0,32,0,34,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,2,3,3,3,3,3,2,39,19,4,2,3,36,3,2,20,6,22,35,6,3,21,35,23,39,4,4,21,3,2,2,34,17,19,1,0,18,0,33,0,54,16,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,1,1,2,2,3,2,3,20,4,19,4,20,3,21,2,19,20,19,2,20,2,2,22,24,19,5,4,23,4,58,3,21,1,18,20,35,2,1,1,0,17,19,34,31,33,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,2,3,3,3,3,2,2,36,19,3,3,3,21,37,2,2,21,3,38,5,5,4,20,3,39,2,19,20,17,0,0,16,18,0,0,0,16,0,51,18,0,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,1,1,2,2,2,1,2,18,1,17,3,2,2,2,19,2,21,4,21,2,21,35,1,18,2,19,3,2,2,1,20,20,20,21,3,1,0,0,35,18,0,0,35,18,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,9,1,1,1,1,2,3,22,3,3,1,0,51,20,3,4,5,5,5,5,40,22,20,3,41,21,20,4,21,35,1,1,17,36,20,19,3,3,1,1,1,35,0,0,51,16,35,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,2,2,3,2,2,34,19,3,3,19,2,2,36,5,22,4,4,19,33,19,18,18,2,2,22,2,1,3,19,20,2,3,19,1,1,34,0,0,34,19,16,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,1,2,3,4,5,4,3,19,20,19,20,20,3,5,20,21,20,20,1,1,20,37,5,5,22,3,3,35,18,2,51,2,4,2,2,2,37,0,0,0,32,0,16,32,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,1,2,3,3,3,2,1,18,21,21,4,6,4,3,21,37,1,20,19,35,3,37,2,2,1,17,1,17,17,2,1,2,2,18,1,17,16,34,0,17,18,17,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,0,0,0,1,1,1,1,1,1,1,17,2,2,2,2,19,1,5,6,24,24,7,3,1,72,18,19,1,18,2,2,2,2,19,1,0,0,18,16,16,16,16,18,18,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,1,2,3,2,20,20,2,2,22,22,3,4,21,3,23,6,43,4,3,36,2,38,36,4,3,2,3,22,20,20,4,19,2,2,36,0,0,34,18,0,34,0,32,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,1,3,3,3,3,20,3,4,38,5,5,20,17,20,17,1,2,35,23,5,5,4,36,2,35,19,21,3,18,4,3,17,2,39,15,0,0,35,0,17,34,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,3,3,2,3,35,1,21,22,3,4,6,22,4,19,3,17,18,50,2,5,5,6,23,5,1,20,17,54,2,19,2,2,1,17,0,18,0,33,18,31,0,35,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,0,1,1,2,3,3,3,4,20,4,20,21,3,18,22,3,20,20,4,20,2,3,19,37,19,18,1,1,2,36,21,3,2,1,1,17,17,0,35,0,0,17,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,1,1,2,3,2,3,21,4,3,20,20,2,19,2,39,6,6,5,7,21,21,22,54,1,18,2,37,3,20,2,1,18,18,15,0,16,0,0,0,35,18,17,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,1,1,1,1,2,3,3,22,5,4,3,20,19,18,36,2,20,40,3,2,22,4,20,4,4,21,21,21,20,2,2,35,2,2,17,19,3,19,1,1,34,0,0,16,18,53,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,0,1,2,2,3,3,4,4,22,22,6,19,4,39,3,35,4,42,5,5,24,21,3,4,52,23,20,4,2,39,5,40,20,4,1,16,0,48,18,0,18,0,34,19,34,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,0,0,1,1,2,3,4,4,4,20,2,18,20,20,4,21,20,3,1,20,38,34,2,2,19,5,5,19,4,4,19,1,2,68,2,1,1,0,19,0,16,0,18,16,0,36,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,1,2,3,4,4,3,3,20,17,19,18,2,2,18,3,4,19,20,3,18,1,34,2,18,2,2,21,3,2,20,2,20,0,0,16,17,0,20,17,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,0,1,1,2,3,3,3,3,19,2,18,19,4,4,21,3,20,0,1,34,23,6,6,5,5,2,21,55,22,20,4,3,3,19,36,1,0,17,16,18,0,0,0,50,17,49,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
